split,num_tokens
train,5158
train,5905
train,3259
train,3700
train,3393
train,4527
train,2483
train,3905
train,593
train,4737
train,4509
train,4765
train,2683
train,9318
train,3543
train,3239
train,2006
train,3508
train,5556
train,1027
train,1925
train,4558
train,4446
train,966
train,2155
train,3664
train,4233
train,2387
train,3225
train,4056
train,3855
train,1837
train,4632
train,2847
train,2654
train,4953
train,3862
train,2351
train,2537
train,4128
train,2118
train,3249
train,6152
train,2859
train,2764
train,2120
train,4577
train,3066
train,1620
train,2535
train,5475
train,2755
train,4189
train,3829
train,3058
train,5871
train,3099
train,3280
train,2287
train,3692
train,2720
train,2115
train,4053
train,2178
train,5434
train,3043
train,2253
train,3596
train,3869
train,5412
train,3295
train,3458
train,8168
train,5964
train,1675
train,4434
train,1594
train,1964
train,2360
train,2696
train,1979
train,1916
train,3824
train,4158
train,3060
train,4593
train,2588
train,3209
train,4010
train,4330
train,3002
train,3081
train,3367
train,2509
train,1204
train,6190
train,3448
train,3495
train,3469
train,3549
train,1761
train,4524
train,6207
train,3769
train,3777
train,5483
train,2443
train,3266
train,1752
train,4024
train,1924
train,4913
train,4269
train,3364
train,5323
train,5409
train,2454
train,4360
train,3735
train,2341
train,3726
train,4059
train,4071
train,4458
train,2807
train,3284
train,2651
train,2675
train,3297
train,3292
train,3700
train,2689
train,3007
train,3249
train,3199
train,3064
train,3424
train,3900
train,3664
train,3900
train,3742
train,3455
train,4799
train,3885
train,2284
train,3075
train,5290
train,2504
train,3602
train,5918
train,5952
train,3771
train,2964
train,4165
train,3079
train,3355
train,3495
train,2838
train,3659
train,2005
train,3237
train,4019
train,3942
train,3604
train,2196
train,4406
train,4338
train,2041
train,4178
train,3896
train,3700
train,5422
train,2674
train,5943
train,1670
train,3343
train,2877
train,2067
train,3943
train,2800
train,1907
train,2406
train,3003
train,4859
train,5366
train,3253
train,2934
train,1757
train,5733
train,3956
train,4169
train,2418
train,4237
train,3569
train,2921
train,1975
train,2100
train,3899
train,2826
train,1503
train,2747
train,2354
train,2855
train,4114
train,3201
train,2539
train,4753
train,3768
train,3481
train,2583
train,5845
train,3544
train,6557
train,3086
train,3800
train,2956
train,4325
train,4758
train,3869
train,4382
train,1789
train,1698
train,5118
train,2832
train,2049
train,2349
train,3182
train,2203
train,6274
train,3929
train,2518
train,3669
train,3663
train,3181
train,2850
train,2630
train,2330
train,1738
train,2796
train,2374
train,3182
train,2226
train,5228
train,2372
train,4298
train,3945
train,4715
train,3963
train,2529
train,4353
train,3397
train,3583
train,2593
train,1859
train,5228
train,3755
train,4668
train,4065
train,5028
train,3819
train,2845
train,5234
train,3692
train,5147
train,3282
train,2811
train,3923
train,2921
train,4484
train,2634
train,4366
train,2811
train,2440
train,4492
train,7159
train,4218
train,5377
train,1260
train,5405
train,2218
train,3570
train,2517
train,5965
train,3681
train,1606
train,3442
train,1694
train,3189
train,3782
train,3011
train,2216
train,3174
train,1524
train,3880
train,3121
train,6305
train,1249
train,4576
train,1878
train,1502
train,5950
train,5127
train,2470
train,4986
train,3937
train,4488
train,2052
train,5076
train,4496
train,3586
train,3452
train,2207
train,2923
train,1912
train,6520
train,2353
train,3098
train,4178
train,3668
train,2035
train,2305
train,1966
train,1724
train,1336
train,3818
train,4708
train,3236
train,2838
train,2158
train,2063
train,4230
train,3405
train,3888
train,3141
train,4018
train,2070
train,4497
train,4701
train,4306
train,7082
train,1416
train,2879
train,2105
train,2790
train,3544
train,4209
train,5223
train,1908
train,2551
train,5043
train,2759
train,3156
train,3179
train,1384
train,2370
train,2162
train,5357
train,3554
train,4867
train,4436
train,3312
train,5731
train,3840
train,2097
train,4631
train,2487
train,3077
train,3130
train,7290
train,4187
train,2042
train,2680
train,2457
train,5284
train,1662
train,3951
train,1819
train,4995
train,2279
train,2731
train,3528
train,2509
train,2243
train,2598
train,2330
train,8355
train,3096
train,2096
train,2297
train,3002
train,2366
train,3711
train,1847
train,2519
train,4129
train,3608
train,1154
train,3328
train,2572
train,2954
train,3978
train,3331
train,2119
train,1354
train,2577
train,2802
train,1802
train,3424
train,2711
train,6735
train,4236
train,2882
train,4293
train,2133
train,2223
train,4391
train,3841
train,4228
train,3141
train,5871
train,3540
train,6046
train,4737
train,4587
train,1554
train,4318
train,1052
train,3238
train,2743
train,3176
train,4675
train,2583
train,5510
train,3104
train,2170
train,5730
train,4527
train,1759
train,4796
train,4020
train,2883
train,2686
train,2237
train,2998
train,2511
train,2471
train,2011
train,4946
train,3919
train,1822
train,3269
train,2594
train,3814
train,1523
train,4138
train,4811
train,3089
train,4044
train,3058
train,1632
train,1514
train,3715
train,3101
train,4781
train,2489
train,3561
train,2861
train,4382
train,4577
train,3048
train,10384
train,3510
train,3011
train,1813
train,3335
train,3419
train,2832
train,3429
train,2560
train,2464
train,4584
train,3770
train,1408
train,3427
train,2591
train,3114
train,1563
train,1201
train,4269
train,2024
train,2068
train,2572
train,3684
train,3546
train,3654
train,1883
train,3676
train,1968
train,2610
train,2679
train,1888
train,2807
train,4222
train,3298
train,4445
train,2410
train,4281
train,3144
train,5837
train,2283
train,2949
train,3925
train,4432
train,2189
train,3707
train,4864
train,2742
train,5800
train,2990
train,2899
train,2119
train,8348
train,4554
train,2718
train,3976
train,1266
train,2501
train,2940
train,4962
train,3916
train,3577
train,4853
train,2039
train,3236
train,3097
train,4011
train,7060
train,2897
train,4213
train,3935
train,2851
train,2985
train,3201
train,3250
train,3332
train,3403
train,4318
train,2601
train,3706
train,3980
train,4395
train,1536
train,2387
train,2265
train,4416
train,2364
train,3983
train,2114
train,1581
train,2447
train,2639
train,3090
train,2713
train,1190
train,2218
train,4167
train,5124
train,3752
train,3712
train,6122
train,2714
train,2397
train,3728
train,2240
train,4249
train,2829
train,3872
train,2827
train,2140
train,2144
train,2422
train,4533
train,4183
train,2688
train,2207
train,5087
train,3935
train,4984
train,2548
train,2504
train,4736
train,6499
train,11203
train,1890
train,2491
train,2501
train,6366
train,3871
train,3570
train,2679
train,2506
train,4665
train,3161
train,2295
train,2628
train,3434
train,1878
train,2724
train,2468
train,4477
train,2777
train,4593
train,4928
train,2145
train,1730
train,3438
train,3493
train,5378
train,3467
train,2052
train,2623
train,4118
train,2642
train,2063
train,2342
train,4302
train,3270
train,3227
train,5389
train,3315
train,2726
train,2106
train,4946
train,3582
train,3014
train,5313
train,3051
train,5823
train,3332
train,2216
train,11066
train,4038
train,2351
train,4302
train,2925
train,4477
train,2743
train,4711
train,3056
train,3497
train,2510
train,4027
train,2239
train,8501
train,4837
train,3672
train,3944
train,2894
train,5482
train,907
train,3613
train,2777
train,2613
train,3131
train,1405
train,1839
train,4609
train,2736
train,2512
train,4627
train,2365
train,2102
train,4389
train,1250
train,4262
train,3907
train,3231
train,2055
train,6807
train,3169
train,4803
train,2959
train,3362
train,1975
train,1656
train,3680
train,5287
train,2407
train,2931
train,2445
train,3299
train,3647
train,8637
train,2044
train,2973
train,1900
train,3450
train,3194
train,4853
train,2138
train,3516
train,2970
train,5935
train,5386
train,3443
train,4111
train,1627
train,5630
train,5232
train,3223
train,2339
train,2907
train,2799
train,4633
train,4191
train,3011
train,4465
train,2061
train,3389
train,4373
train,2511
train,4464
train,2068
train,4675
train,2223
train,2498
train,3255
train,3529
train,3150
train,6840
train,2642
train,3855
train,2253
train,2219
train,5681
train,1396
train,4455
train,3685
train,6350
train,2163
train,2018
train,2506
train,2676
train,7554
train,2662
train,2679
train,3696
train,4123
train,4098
train,3008
train,5872
train,1598
train,4016
train,3484
train,6752
train,3074
train,2609
train,4904
train,2229
train,6245
train,5931
train,3590
train,2927
train,6282
train,2769
train,3122
train,4227
train,2676
train,1677
train,3636
train,8172
train,5714
train,3319
train,4110
train,2815
train,4481
train,6064
train,3930
train,3221
train,4215
train,3273
train,5521
train,4118
train,2815
train,3058
train,3238
train,2296
train,2339
train,2263
train,5396
train,3343
train,2526
train,3398
train,3976
train,5128
train,2971
train,4811
train,3048
train,2952
train,4719
train,2511
train,5030
train,3173
train,3666
train,4201
train,2973
train,3103
train,6715
train,3050
train,4440
train,2575
train,4003
train,3381
train,1687
train,1054
train,4982
train,3011
train,2559
train,3668
train,3503
train,7289
train,3297
train,4214
train,3562
train,3429
train,3401
train,4722
train,3505
train,1323
train,2362
train,3915
train,3674
train,1898
train,3600
train,5970
train,1950
train,2433
train,3831
train,3813
train,3956
train,1763
train,4254
train,2224
train,2727
train,4383
train,2119
train,4876
train,5150
train,2419
train,2444
train,3041
train,4199
train,3872
train,2581
train,3951
train,6086
train,2787
train,3085
train,3826
train,6527
train,5281
train,4576
train,3349
train,4767
train,3188
train,5090
train,2186
train,3119
train,4228
train,3553
train,3035
train,2125
train,3199
train,3792
train,5226
train,5322
train,3540
train,2200
train,1086
train,4335
train,2532
train,3641
train,1997
train,3650
train,1639
train,4589
train,3797
train,3143
train,2090
train,3188
train,3126
train,2708
train,7100
train,3885
train,2132
train,4656
train,3501
train,3597
train,3319
train,5153
train,3663
train,4253
train,3360
train,5699
train,1543
train,4962
train,1929
train,1823
train,3627
train,1944
train,3487
train,3447
train,4480
train,4762
train,4122
train,2096
train,3168
train,3658
train,1494
train,3044
train,4456
train,3985
train,5307
train,1610
train,2717
train,5386
train,3166
train,2702
train,5219
train,4826
train,3925
train,3161
train,3232
train,2586
train,2282
train,1216
train,5534
train,2518
train,2790
train,5476
train,3111
train,3314
train,2291
train,1707
train,2507
train,3718
train,3299
train,2842
train,3825
train,4571
train,5118
train,4868
train,2014
train,4600
train,1725
train,12108
train,4697
train,3106
train,4330
train,1681
train,3419
train,4129
train,2102
train,3224
train,4387
train,2393
train,3211
train,3888
train,3190
train,5109
train,5530
train,2787
train,3199
train,2811
train,3346
train,2602
train,2200
train,4523
train,3587
train,1834
train,1468
train,3292
train,2956
train,1688
train,4398
train,3390
train,1343
train,3444
train,3115
train,3057
train,2561
train,3548
train,1310
train,5063
train,2796
train,2535
train,2025
train,2814
train,2005
train,1868
train,2853
train,1945
train,2772
train,6510
train,2186
train,5374
train,3095
train,2794
train,2049
train,3191
train,2492
train,1727
train,4111
train,5017
train,3713
train,3020
train,4701
train,4828
train,4321
train,2161
train,4569
train,3565
train,1639
train,1801
train,2818
train,3054
train,4334
train,2692
train,2066
train,4838
train,2252
train,2135
train,4270
train,2444
train,5442
train,3956
train,6012
train,1581
train,1780
train,4983
train,2371
train,2377
train,3595
train,3076
train,5280
train,5268
train,4656
train,3764
train,1497
train,4944
train,3151
train,3202
train,4204
train,2955
train,2589
train,6018
train,3211
train,2024
train,6791
train,3989
train,2926
train,1957
train,6280
train,8039
train,3482
train,2557
train,2724
train,5175
train,2137
train,3210
train,7819
train,2652
train,2249
train,3342
train,5932
train,5120
train,3295
train,4216
train,3320
train,4933
train,5212
train,4579
train,1569
train,1443
train,3995
train,3702
train,1326
train,2624
train,3374
train,3376
train,4247
train,2172
train,2082
train,3634
train,3754
train,3922
train,4623
train,4860
train,4736
train,5430
train,6528
train,1428
train,2745
train,3127
train,2823
train,3388
train,4043
train,2378
train,3939
train,2126
train,4156
train,2625
train,3650
train,3324
train,2072
train,4251
train,1338
train,2181
train,2037
train,1082
train,4169
train,3643
train,2248
train,2038
train,3581
train,5423
train,4005
train,3387
train,3286
train,3851
train,4881
train,3946
train,7200
train,1932
train,5148
train,1642
train,4471
train,7774
train,1568
train,1323
train,2419
train,3192
train,1806
train,3824
train,5484
train,3165
train,4424
train,4653
train,3506
train,5708
train,2127
train,2352
train,3969
train,3124
train,1541
train,4776
train,5227
train,2889
train,3914
train,2787
train,2106
train,5681
train,2553
train,3750
train,5055
train,1970
train,5257
train,3250
train,2481
train,1919
train,3637
train,3864
train,3941
train,2100
train,2661
train,5299
train,2612
train,1973
train,3164
train,5040
train,3077
train,4035
train,5388
train,3806
train,3772
train,2573
train,2765
train,2622
train,3704
train,2747
train,2430
train,2818
train,3905
train,2671
train,3823
train,3624
train,2324
train,5597
train,5007
train,2334
train,2229
train,2439
train,2873
train,2990
train,3489
train,3764
train,2475
train,2562
train,1863
train,2352
train,3680
train,3678
train,2405
train,6593
train,2935
train,5837
train,2752
train,2840
train,3551
train,2871
train,4019
train,4882
train,3787
train,4122
train,4265
train,3201
train,4644
train,4372
train,2251
train,7968
train,2081
train,2662
train,3456
train,3725
train,4048
train,2839
train,5479
train,2909
train,3431
train,1900
train,2163
train,5010
train,4713
train,4201
train,5231
train,3620
train,3780
train,3885
train,4136
train,3392
train,2414
train,3945
train,2346
train,3105
train,4161
train,3826
train,3374
train,2934
train,2161
train,4300
train,4364
train,4598
train,3868
train,3559
train,1140
train,3588
train,3688
train,2989
train,3732
train,1807
train,4493
train,2125
train,5356
train,2109
train,8483
train,2950
train,4693
train,4135
train,2482
train,2821
train,3353
train,3336
train,1033
train,2149
train,3770
train,5814
train,1386
train,3522
train,3112
train,2525
train,5223
train,1854
train,2836
train,2890
train,475
train,4484
train,3428
train,3329
train,4117
train,2973
train,2030
train,3305
train,2799
train,5809
train,4194
train,6148
train,5568
train,4694
train,1677
train,1587
train,2760
train,4437
train,6228
train,2612
train,4479
train,2514
train,1963
train,1671
train,4132
train,2912
train,5556
train,2616
train,5417
train,3017
train,2079
train,2739
train,2405
train,4118
train,2182
train,3466
train,6044
train,2916
train,2527
train,2632
train,3619
train,3757
train,1956
train,4064
train,3115
train,2084
train,3351
train,5665
train,6643
train,3340
train,3096
train,1887
train,5567
train,3632
train,2407
train,6233
train,1745
train,4206
train,3725
train,2357
train,1859
train,5088
train,2180
train,3710
train,6652
train,6426
train,4078
train,2548
train,5373
train,3112
train,1900
train,2916
train,2967
train,6782
train,1909
train,2887
train,2950
train,3005
train,4758
train,2526
train,5622
train,10829
train,3069
train,4376
train,4992
train,1991
train,3124
train,2718
train,2760
train,3058
train,4320
train,1946
train,2960
train,4887
train,3025
train,1850
train,5161
train,2629
train,3747
train,4699
train,2387
train,3983
train,5107
train,2005
train,2825
train,4277
train,3725
train,1598
train,1981
train,3090
train,5694
train,2920
train,4672
train,503
train,3291
train,2849
train,2103
train,4582
train,3242
train,1908
train,4273
train,4003
train,2913
train,3262
train,3911
train,2483
train,2458
train,2381
train,2514
train,2352
train,1900
train,3429
train,3976
train,2739
train,2887
train,3502
train,1712
train,4915
train,3465
train,1551
train,5233
train,1205
train,5429
train,3289
train,2496
train,1935
train,5456
train,3683
train,1845
train,3589
train,3103
train,3718
train,3682
train,2814
train,3239
train,6325
train,3100
train,3259
train,3419
train,3084
train,1547
train,4835
train,3529
train,3418
train,3926
train,2846
train,4035
train,6498
train,1646
train,2176
train,4505
train,4080
train,4172
train,6122
train,4817
train,9402
train,3410
train,2752
train,5324
train,3157
train,4296
train,2595
train,2285
train,3281
train,3003
train,4423
train,2448
train,5861
train,2233
train,5568
train,4964
train,4645
train,3598
train,1857
train,4665
train,2959
train,3552
train,3372
train,8955
train,2960
train,3092
train,2762
train,3588
train,3240
train,1618
train,2598
train,3963
train,2180
train,5709
train,5976
train,2311
train,2554
train,2175
train,3070
train,1974
train,4889
train,5066
train,2783
train,11052
train,3229
train,1978
train,2851
train,4899
train,3834
train,4011
train,5144
train,2885
train,4246
train,3908
train,4125
train,5048
train,2505
train,3387
train,4623
train,2560
train,4187
train,3215
train,2809
train,3301
train,4726
train,2561
train,2924
train,2088
train,1679
train,3708
train,2802
train,2481
train,2542
train,5359
train,2716
train,3965
train,2874
train,2047
train,2028
train,2397
train,3697
train,2674
train,3099
train,3251
train,873
train,3662
train,5304
train,1902
train,3410
train,1932
train,3292
train,5449
train,1741
train,5930
train,3395
train,2196
train,1934
train,4693
train,2026
train,4397
train,3213
train,6579
train,2489
train,1576
train,4644
train,3485
train,3787
train,4955
train,2969
train,3572
train,2899
train,2436
train,4637
train,3440
train,4463
train,3040
train,1880
train,3861
train,5557
train,2916
train,4590
train,2831
train,3706
train,6135
train,3025
train,1656
train,2848
train,2629
